Day,Group,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Added Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2024-08-17,"Breakfast","Rice, White, Short-Grain, Enriched, Uncooked","1.00 cup",716.00,,,26.58,1.13,0.10,8.23,2.57,0.34,,778.00,,,,,,6.00,0.42,8.46,46.00,2.07,190.00,152.00,30.20,2.00,2.20,158.30,5.60,,,,152.70,1.04,,0.32,0.28,0.28,,0.05,0.23,0.27,0.31,0.56,1.08,0.47,0.31,0.70,13.00,0.47,0.15,0.43,0.79,"Cereal Grains and Pasta"
2024-08-17,"Lunch","Subway, Chocolate Chip Cookie","5.00 each",1047.64,0.00,37.20,19.42,0.57,0.45,4.30,0.56,0.10,0.14,150.35,117.56,0.00,31.32,3.60,6.12,48.81,0.55,5.40,97.25,1.02,174.45,381.75,29.86,600.73,1.58,148.70,5.59,51.15,90.67,88.99,143.10,50.39,69.55,16.45,3.18,27.91,0.59,0.15,2.94,0.21,0.23,0.42,0.75,0.38,0.19,0.55,10.88,0.36,0.14,0.36,0.52,"Fast Foods"
2024-08-17,"Lunch","Subway, Turkey Breast Sandwich with Veggies, No Mayo","1.00 each - 6"" sub",304.00,0.00,0.00,160.22,0.35,0.29,7.93,1.01,0.37,0.27,101.05,91.45,14.03,35.40,0.66,48.38,226.53,0.17,3.34,54.98,0.89,251.58,383.41,31.00,1010.95,1.63,39.02,4.05,26.84,6.48,3.79,34.87,7.77,35.66,1.69,1.58,2.80,0.17,0.18,1.32,0.21,0.42,0.64,1.13,1.06,0.36,0.64,19.61,0.58,0.19,0.49,0.70,"Fast Foods"
2024-08-17,"Dinner","White Rice, Steamed","1.00 cup",205.41,0.00,0.00,108.14,0.26,0.02,2.33,0.62,0.15,0.00,67.63,0.00,0.00,0.00,0.06,0.00,15.80,0.11,1.90,18.96,0.75,67.94,55.30,11.85,1.58,0.77,44.51,0.54,36.34,0.05,0.00,43.95,0.44,0.00,0.14,0.12,0.12,0.00,0.02,0.10,0.09,0.10,0.18,0.35,0.15,0.10,0.23,4.25,0.15,0.05,0.14,0.26,"Cereal Grains and Pasta"
2024-08-17,"Dinner","Chicken Breast, Skin Removed Before Cooking","100.00 g",173.00,0.00,0.00,64.76,0.07,0.12,12.42,0.97,0.60,0.34,4.00,9.00,0.00,5.00,0.27,0.30,15.00,0.05,1.06,27.00,0.02,216.00,247.00,24.40,77.00,1.23,0.00,0.00,0.00,0.00,0.00,0.00,4.51,85.00,1.54,0.98,1.27,0.09,0.10,0.82,0.40,0.96,1.63,2.32,2.63,0.86,1.23,30.91,1.31,0.36,1.04,1.53,"Poultry Products"
2024-08-17,"Dinner","Mi ABC, Mi Goreng Pancit Canton","1.00 noodle bag",330.00,,,,,,,,,,,,,,,,8.00,,4.00,,,,141.00,,820.00,,44.00,3.00,,3.00,,41.00,15.00,0.00,,,6.00,0.00,,,,,,,,,,,,,,,"Meals, Entrees, and Sidedishes"
2024-08-18,"Breakfast","White Rice, Steamed","1.00 cup",205.41,0.00,0.00,108.14,0.26,0.02,2.33,0.62,0.15,0.00,67.63,0.00,0.00,0.00,0.06,0.00,15.80,0.11,1.90,18.96,0.75,67.94,55.30,11.85,1.58,0.77,44.51,0.54,36.34,0.05,0.00,43.95,0.44,0.00,0.14,0.12,0.12,0.00,0.02,0.10,0.09,0.10,0.18,0.35,0.15,0.10,0.23,4.25,0.15,0.05,0.14,0.26,"Cereal Grains and Pasta"
2024-08-18,"Breakfast","Pork belly","100.00 g",404.67,0.00,0.00,40.74,0.74,0.43,5.01,0.82,0.29,1.06,5.50,6.38,0.77,71.88,0.21,0.00,34.61,0.14,1.67,21.35,0.01,198.51,284.67,39.70,83.39,4.48,0.00,0.00,0.00,0.00,0.00,0.00,32.24,108.28,14.14,3.94,11.82,0.30,0.12,3.55,0.33,1.03,1.22,2.12,2.38,0.69,1.06,26.63,1.20,0.33,0.91,1.43,"Pork Products"
2024-08-18,"Breakfast","Eggs, Cooked","2.00 large",155.00,0.00,0.00,74.62,0.07,0.51,0.06,1.40,0.12,1.11,44.00,149.33,0.00,87.00,1.03,0.30,50.00,0.01,1.19,10.00,0.03,172.00,126.00,30.80,124.00,1.05,1.12,0.00,0.00,1.12,0.00,1.11,10.61,373.00,4.08,1.41,3.27,0.00,0.07,1.31,0.29,0.30,0.69,1.08,0.90,0.39,0.67,12.58,0.60,0.15,0.51,0.77,"Dairy and Egg Products"
2024-08-18,"Breakfast","Mi ABC, Mi Goreng Pancit Canton","1.00 noodle bag",330.00,,,,,,,,,,,,,,,,8.00,,4.00,,,,141.00,,820.00,,44.00,3.00,,3.00,,41.00,15.00,0.00,,,6.00,0.00,,,,,,,,,,,,,,,"Meals, Entrees, and Sidedishes"
2024-08-18,"Breakfast","Corn on the Cob, Yellow, Cooked from Fresh","1.00 medium - 6 3/4"" to 7 1/2"" long",98.88,0.00,0.00,75.61,0.10,0.06,1.73,0.82,0.14,0.00,23.69,13.56,5.67,0.00,0.09,0.41,3.09,0.05,0.46,26.78,0.17,79.31,224.54,0.21,1.03,0.64,21.61,2.47,7.39,4.68,0.00,19.06,1.55,0.00,0.39,0.62,0.20,0.00,0.02,0.18,0.03,0.09,0.14,0.37,0.15,0.07,0.16,3.51,0.14,0.02,0.13,0.20,"Vegetables and Vegetable Products"
2024-08-18,"Breakfast","Cucumber Salad, with Vinegar","1.00 cup",52.62,0.00,0.00,142.96,0.03,0.04,0.11,0.27,0.06,0.00,10.06,5.10,3.99,0.00,0.03,15.83,22.38,0.05,0.39,16.17,0.20,31.21,194.96,0.45,380.99,0.24,11.47,1.35,0.80,8.48,5.98,9.85,0.12,0.00,0.01,0.03,0.04,0.00,0.00,0.03,0.00,0.01,0.02,0.03,0.03,0.01,0.02,0.82,0.02,0.01,0.01,0.03,"Vegetables and Vegetable Products"
2024-08-18,"Lunch","Banana, Fried","3.00 medium - 7"" to 7 7/8"" long",495.73,0.00,0.00,235.18,0.11,0.26,2.35,1.18,1.30,0.00,70.80,11.36,30.80,0.00,2.13,39.36,17.70,0.28,0.93,95.58,0.96,77.88,1267.32,12.91,3.54,0.53,80.85,9.20,19.05,43.29,0.00,71.62,21.61,0.00,4.77,12.06,3.60,0.11,1.48,10.47,0.03,0.27,0.10,0.24,0.18,0.03,0.18,3.86,0.10,0.03,0.03,0.17,"Fruits and Fruit Juices"
2024-08-18,"Lunch","Chicken Wing, Skin Eaten","20.00 wing",1778.00,0.00,0.00,415.80,0.45,1.07,44.24,6.02,3.91,2.45,63.00,84.00,0.00,49.00,4.83,2.10,126.00,0.29,5.88,133.00,0.08,1029.00,1484.00,178.50,686.00,11.48,0.00,0.00,0.00,0.00,0.00,0.00,118.09,987.00,53.94,25.13,34.83,0.59,1.32,22.94,1.74,6.21,8.17,13.78,16.01,4.33,6.72,166.53,7.47,2.10,6.00,8.62,"Poultry Products"
2024-08-19,"Lunch","White Rice, Steamed","1.00 cup",205.41,0.00,0.00,108.14,0.26,0.02,2.33,0.62,0.15,0.00,67.63,0.00,0.00,0.00,0.06,0.00,15.80,0.11,1.90,18.96,0.75,67.94,55.30,11.85,1.58,0.77,44.51,0.54,36.34,0.05,0.00,43.95,0.44,0.00,0.14,0.12,0.12,0.00,0.02,0.10,0.09,0.10,0.18,0.35,0.15,0.10,0.23,4.25,0.15,0.05,0.14,0.26,"Cereal Grains and Pasta"
2024-08-19,"Lunch","Stouffer's, Fried Chicken","3.00 package - each 8.9 oz",1140.60,0.00,0.00,530.51,0.66,0.57,20.67,2.71,1.30,0.58,119.52,168.31,18.90,25.00,2.72,40.25,132.54,0.62,4.98,114.35,0.74,533.19,1019.94,66.54,3120.65,3.28,95.57,6.70,79.43,5.31,0.02,88.76,54.47,196.77,16.47,15.62,17.80,1.08,1.60,13.55,0.89,1.91,3.25,4.86,5.04,1.65,2.71,65.74,2.65,0.78,2.21,3.24,"Meals, Entrees, and Sidedishes"
2024-08-20,"Breakfast","White Rice, Steamed","1.00 cup",205.41,0.00,0.00,108.14,0.26,0.02,2.33,0.62,0.15,0.00,67.63,0.00,0.00,0.00,0.06,0.00,15.80,0.11,1.90,18.96,0.75,67.94,55.30,11.85,1.58,0.77,44.51,0.54,36.34,0.05,0.00,43.95,0.44,0.00,0.14,0.12,0.12,0.00,0.02,0.10,0.09,0.10,0.18,0.35,0.15,0.10,0.23,4.25,0.15,0.05,0.14,0.26,"Cereal Grains and Pasta"
2024-08-20,"Breakfast","Eggs, Cooked","2.00 large",155.00,0.00,0.00,74.62,0.07,0.51,0.06,1.40,0.12,1.11,44.00,149.33,0.00,87.00,1.03,0.30,50.00,0.01,1.19,10.00,0.03,172.00,126.00,30.80,124.00,1.05,1.12,0.00,0.00,1.12,0.00,1.11,10.61,373.00,4.08,1.41,3.27,0.00,0.07,1.31,0.29,0.30,0.69,1.08,0.90,0.39,0.67,12.58,0.60,0.15,0.51,0.77,"Dairy and Egg Products"
2024-08-20,"Breakfast","Beef Liver","100.00 g",191.00,0.00,0.00,58.81,0.19,3.42,17.53,7.11,1.02,70.58,253.00,9442.42,1.90,49.00,0.51,3.30,6.00,14.28,6.54,21.00,0.36,497.00,352.00,36.10,79.00,5.30,5.13,0.00,5.13,0.00,0.00,5.13,5.26,396.00,1.12,1.11,2.95,0.37,0.02,1.08,0.53,0.88,1.35,2.67,2.25,0.76,1.52,29.08,1.22,0.37,1.13,1.76,"Beef Products"
2024-08-20,"Breakfast","Banana, Fresh","3.00 large - 8"" to 8 7/8"" long",363.12,0.00,0.00,305.63,0.13,0.30,2.71,1.36,1.50,0.00,81.60,13.09,35.50,0.00,0.53,2.04,20.40,0.32,1.06,110.16,1.10,89.76,1460.64,4.08,4.08,0.61,93.19,10.61,21.95,49.90,0.00,82.54,1.35,0.00,0.13,0.30,0.46,0.00,0.11,0.19,0.04,0.31,0.11,0.28,0.20,0.03,0.20,4.45,0.11,0.04,0.04,0.19,"Fruits and Fruit Juices"
2024-08-20,"Lunch","Banana, Fried","3.00 medium - 7"" to 7 7/8"" long",495.73,0.00,0.00,235.18,0.11,0.26,2.35,1.18,1.30,0.00,70.80,11.36,30.80,0.00,2.13,39.36,17.70,0.28,0.93,95.58,0.96,77.88,1267.32,12.91,3.54,0.53,80.85,9.20,19.05,43.29,0.00,71.62,21.61,0.00,4.77,12.06,3.60,0.11,1.48,10.47,0.03,0.27,0.10,0.24,0.18,0.03,0.18,3.86,0.10,0.03,0.03,0.17,"Fruits and Fruit Juices"
2024-08-20,"Lunch","Kettle Korn by Joey Salted Caramel","10.00 serving",1300.00,,,,,,,,,,,,,,,,,,1.80,,,,,,1500.00,,160.00,5.00,,160.00,,155.00,70.00,0.00,,,50.00,0.00,,,,,,,,,,10.00,,,,,""
2024-08-20,"Dinner","Apple, Fresh, With Skin","1.00 large - 3 1/4"" diameter",115.96,0.00,0.00,190.80,0.04,0.06,0.20,0.14,0.09,0.00,6.69,6.04,10.26,0.00,0.47,4.91,13.38,0.06,0.27,11.15,0.08,24.53,238.61,0.00,2.23,0.09,30.80,5.35,0.11,23.17,0.00,23.64,0.38,0.00,0.02,0.11,0.06,0.00,0.02,0.10,0.00,0.01,0.01,0.03,0.03,0.00,0.01,0.58,0.01,0.00,0.00,0.03,"Fruits and Fruit Juices"
2024-08-20,"Snacks","Ice Cream, Vanilla or Other Flavors, Includes Chocolate Chip","1.00 cup",273.24,0.00,0.00,80.52,0.05,0.32,0.15,0.77,0.06,0.51,6.60,155.21,0.79,10.56,0.40,1.98,168.96,0.03,0.12,18.48,0.01,138.60,262.68,2.38,105.60,0.91,31.15,0.92,0.00,28.01,15.95,30.22,14.52,58.08,3.92,0.60,8.96,0.54,0.23,0.17,0.04,0.12,0.26,0.42,0.34,0.11,0.21,4.62,0.19,0.06,0.20,0.29,"Dairy and Egg Products"
2024-08-21,"Uncategorized","Kettle Korn by Joey Salted Caramel","10.00 serving",1300.00,,,,,,,,,,,,,,,,,,1.80,,,,,,1500.00,,160.00,5.00,,160.00,,155.00,70.00,0.00,,,50.00,0.00,,,,,,,,,,10.00,,,,,""
2024-08-21,"Breakfast","Banana, Fresh","1.00 large - 8"" to 8 7/8"" long",121.04,0.00,0.00,101.88,0.04,0.10,0.90,0.45,0.50,0.00,27.20,4.36,11.83,0.00,0.18,0.68,6.80,0.11,0.35,36.72,0.37,29.92,486.88,1.36,1.36,0.20,31.06,3.54,7.32,16.63,0.00,27.51,0.45,0.00,0.04,0.10,0.15,0.00,0.04,0.06,0.01,0.10,0.04,0.09,0.07,0.01,0.07,1.48,0.04,0.01,0.01,0.06,"Fruits and Fruit Juices"
2024-08-21,"Breakfast","Quaker, Instant Oatmeal, Plain","2.00 packet - prepared",202.72,0.00,0.00,241.76,0.25,0.03,0.58,0.67,0.04,0.00,248.36,432.32,0.00,0.00,0.28,1.06,203.67,0.23,13.84,74.05,1.90,236.88,204.96,12.99,159.56,1.43,38.93,5.60,31.72,0.84,0.00,33.33,3.86,0.00,1.30,1.42,0.75,0.01,0.04,1.37,0.24,0.16,0.28,0.54,0.38,0.12,0.37,6.67,0.21,0.10,0.21,0.40,"Breakfast Cereals"
2024-08-21,"Breakfast","Sugar, White Granulated","1.00 tbsp",48.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.01,0.00,0.00,0.00,0.25,0.08,0.13,0.00,12.50,0.00,0.00,12.48,12.48,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Sweets"
2024-08-21,"Lunch","Banana, Fried","3.00 medium - 7"" to 7 7/8"" long",495.73,0.00,0.00,235.18,0.11,0.26,2.35,1.18,1.30,0.00,70.80,11.36,30.80,0.00,2.13,39.36,17.70,0.28,0.93,95.58,0.96,77.88,1267.32,12.91,3.54,0.53,80.85,9.20,19.05,43.29,0.00,71.62,21.61,0.00,4.77,12.06,3.60,0.11,1.48,10.47,0.03,0.27,0.10,0.24,0.18,0.03,0.18,3.86,0.10,0.03,0.03,0.17,"Fruits and Fruit Juices"
2024-08-21,"Lunch","Pork belly","200.00 g",809.34,0.00,0.00,81.48,1.48,0.85,10.01,1.64,0.57,2.12,10.99,12.76,1.54,143.76,0.42,0.00,69.21,0.28,3.35,42.70,0.03,397.01,569.34,79.40,166.78,8.97,0.00,0.00,0.00,0.00,0.00,0.00,64.48,216.56,28.27,7.89,23.63,0.59,0.23,7.10,0.66,2.06,2.44,4.24,4.76,1.38,2.12,53.26,2.39,0.65,1.82,2.85,"Pork Products"
2024-08-21,"Lunch","White Rice, Steamed","1.00 cup",205.41,0.00,0.00,108.14,0.26,0.02,2.33,0.62,0.15,0.00,67.63,0.00,0.00,0.00,0.06,0.00,15.80,0.11,1.90,18.96,0.75,67.94,55.30,11.85,1.58,0.77,44.51,0.54,36.34,0.05,0.00,43.95,0.44,0.00,0.14,0.12,0.12,0.00,0.02,0.10,0.09,0.10,0.18,0.35,0.15,0.10,0.23,4.25,0.15,0.05,0.14,0.26,"Cereal Grains and Pasta"
2024-08-21,"Snacks","Goldilocks, Hopia, Ube","100.00 g",325.00,,,,,,,,,,,,,,,,50.00,,1.88,,,,75.00,,575.00,,42.50,2.50,,12.50,,40.00,15.00,0.00,,,2.50,0.25,,,,,,,,,,5.00,,,,,"Snacks"
2024-08-22,"Breakfast","Sugar, White Granulated","1.00 tbsp",48.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.01,0.00,0.00,0.00,0.25,0.08,0.13,0.00,12.50,0.00,0.00,12.48,12.48,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Sweets"
2024-08-22,"Breakfast","Quaker, Instant Oatmeal, Plain","2.00 packet - prepared",202.72,0.00,0.00,241.76,0.25,0.03,0.58,0.67,0.04,0.00,248.36,432.32,0.00,0.00,0.28,1.06,203.67,0.23,13.84,74.05,1.90,236.88,204.96,12.99,159.56,1.43,38.93,5.60,31.72,0.84,0.00,33.33,3.86,0.00,1.30,1.42,0.75,0.01,0.04,1.37,0.24,0.16,0.28,0.54,0.38,0.12,0.37,6.67,0.21,0.10,0.21,0.40,"Breakfast Cereals"
2024-08-22,"Breakfast","Rambutan, Raw","1.00 oz",21.13,0.00,0.00,22.54,0.00,0.02,0.23,0.29,0.01,0.00,2.27,0.00,19.84,,0.14,,2.27,,0.03,2.83,,2.55,39.69,0.14,0.57,0.17,5.24,0.79,0.00,4.45,0.00,4.45,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,0.28,,0.00,,,"Fruits and Fruit Juices"
2024-08-22,"Lunch","Banana, Fried","3.00 medium - 7"" to 7 7/8"" long",495.73,0.00,0.00,235.18,0.11,0.26,2.35,1.18,1.30,0.00,70.80,11.36,30.80,0.00,2.13,39.36,17.70,0.28,0.93,95.58,0.96,77.88,1267.32,12.91,3.54,0.53,80.85,9.20,19.05,43.29,0.00,71.62,21.61,0.00,4.77,12.06,3.60,0.11,1.48,10.47,0.03,0.27,0.10,0.24,0.18,0.03,0.18,3.86,0.10,0.03,0.03,0.17,"Fruits and Fruit Juices"
2024-08-22,"Lunch","Qdoba, Grilled Adobo Chicken","3.00 Serving",510.00,,,,,,,,,,,,,,,,,,,,,,1311.00,,1020.00,,3.00,3.00,,3.00,,0.00,27.00,375.00,,,7.50,0.00,,,,,,,,,,69.00,,,,,"Restaurant Foods"
2024-08-22,"Lunch","White Rice, Steamed","1.00 cup",205.41,0.00,0.00,108.14,0.26,0.02,2.33,0.62,0.15,0.00,67.63,0.00,0.00,0.00,0.06,0.00,15.80,0.11,1.90,18.96,0.75,67.94,55.30,11.85,1.58,0.77,44.51,0.54,36.34,0.05,0.00,43.95,0.44,0.00,0.14,0.12,0.12,0.00,0.02,0.10,0.09,0.10,0.18,0.35,0.15,0.10,0.23,4.25,0.15,0.05,0.14,0.26,"Cereal Grains and Pasta"
2024-08-22,"Dinner","Whole Foods, Roasted Garlic & Herb Rotisserie Chicken","250.00 g",529.11,,,,,,,,,,,176.37,7.05,,,,0.00,,3.17,,,,,,823.06,,2.94,0.00,,0.00,,2.94,38.21,176.37,,,10.29,0.00,,,,,,,,,,47.03,,,,,"Poultry Products"
2024-08-22,"Dinner","White Rice, Steamed","1.00 cup",205.41,0.00,0.00,108.14,0.26,0.02,2.33,0.62,0.15,0.00,67.63,0.00,0.00,0.00,0.06,0.00,15.80,0.11,1.90,18.96,0.75,67.94,55.30,11.85,1.58,0.77,44.51,0.54,36.34,0.05,0.00,43.95,0.44,0.00,0.14,0.12,0.12,0.00,0.02,0.10,0.09,0.10,0.18,0.35,0.15,0.10,0.23,4.25,0.15,0.05,0.14,0.26,"Cereal Grains and Pasta"
2024-08-22,"Snacks","Fita, Crackers","2.00 x 9.0 crackers",280.00,,,,,,,,,,,0.00,0.00,,,,40.00,,1.44,,,,,,480.00,,42.00,0.00,,8.00,,42.00,12.00,0.00,,,10.00,0.00,,,,,,,,,,4.00,,,,,"Snacks"
