Food Name,Amount,Price
"Rice, White, Short-Grain, Cooked, Unenriched",1.00 cup,7
"Roast Beef, Rump, No Visible Fat Eaten",3.00 oz,80
"Roast Beef, Rump, No Visible Fat Eaten",1.00 oz,25
"Roast Beef, Rump, No Visible Fat Eaten",5.00 oz,125
Sardines and Rice,1.00 full recipe,70
"Selecta, Non Fat Milk",1.00 x 8.28 fl oz (245ml),35
"Selecta, Non Fat Milk",0.50 x 8.28 fl oz (245ml),17.5
Shrimp Pasta,1.00 full recipe,110
Smart C,1.00 x 350.0 ml,35
"Spinach, Raw","1.00 cup, cut pieces",15
"Stik-O, Chocolate Wafer Stick, Junior",2.00 x 4.0 pieces,10
"Stik-O, Chocolate Wafer Stick, Junior",4.00 x 4.0 pieces,20
"Stik-O, Chocolate Wafer Stick, Junior",5.00 x 4.0 pieces,25
"Stik-O, Chocolate Wafer Stick, Junior",10.00 x 4.0 pieces,50
"Sweet Potato, Baked",400.00 g,60
"Tesco, Egg & Bacon",1.00 serving,50
"Tripe Stew or Menudo, Pima Indian",1.00 cup,80
"White Rice, Steamed",1.00 cup,12
"White Rice, Steamed",2.00 cup,24
"White Rice, Steamed",3.00 cup,36
"White Rice, Steamed",0.50 cup,6
