,Food Name,Amount
55,"Pancake, Plain or Buttermilk, Homemade","3.00 each - 4"" diameter"
56,"Peanut Butter, Regular, Salted",1.00 tbsp
57,"Pear, Fresh",1.00 large
58,"Pinkberry, milkshake, mango pineapple",22.00 oz
59,"Pizza, Homemade or Restaurant, One Meat Topping, Thick Crust or Deep Dish",300.00 g
60,"Private Selection, Tarte Flambee With Bacon Lardons, Olive Oil Grana Padano Sauce, Creme Fraiche, Sliced White Onions, Parsley Thin Crust Pizza, Tarte Flambee",1.00 serving
61,Protein Drink,1.00 full recipe
62,"Pukka, Pizza Slice, Pepperoni",1.00 Serving
63,"Quaker, Instant Oatmeal, Chocolate",32.00 g
63,"Quaker, Instant Oatmeal, Chocolate",66.00 g
63,"Quaker, Instant Oatmeal, Chocolate",64.00 g
64,"Quaker, Instant Oatmeal, Philippines",33.00 g
65,"Quaker, Instant Oatmeal, Plain",1.00 packet - prepared
65,"Quaker, Instant Oatmeal, Plain",2.00 packet - prepared
66,"Quaker, Oaties Mini Oat Cookies, Honey Nuts",1.00 Package
67,"Rebisco, Crackers",1.00 Pack
68,"Rice, White, Short-Grain, Cooked, Unenriched",3.00 cup
68,"Rice, White, Short-Grain, Cooked, Unenriched",2.00 cup
68,"Rice, White, Short-Grain, Cooked, Unenriched",1.50 cup
68,"Rice, White, Short-Grain, Cooked, Unenriched",1.00 cup
69,"Roast Beef, Rump, No Visible Fat Eaten",3.00 oz
69,"Roast Beef, Rump, No Visible Fat Eaten",1.00 oz
69,"Roast Beef, Rump, No Visible Fat Eaten",5.00 oz
70,Sardines and Rice,1.00 full recipe
71,"Selecta, Non Fat Milk",1.00 x 8.28 fl oz (245ml)
71,"Selecta, Non Fat Milk",0.50 x 8.28 fl oz (245ml)
72,Shrimp Pasta,1.00 full recipe
73,Smart C,1.00 x 350.0 ml
74,"Spinach, Raw","1.00 cup, cut pieces"
75,"Stik-O, Chocolate Wafer Stick, Junior",2.00 x 4.0 pieces
75,"Stik-O, Chocolate Wafer Stick, Junior",4.00 x 4.0 pieces
75,"Stik-O, Chocolate Wafer Stick, Junior",5.00 x 4.0 pieces
75,"Stik-O, Chocolate Wafer Stick, Junior",10.00 x 4.0 pieces
76,"Sweet Potato, Baked",400.00 g
77,"Tesco, Egg & Bacon",1.00 serving
78,"Tripe Stew or Menudo, Pima Indian",1.00 cup
79,"Turo-turo Gourmet, Sisig Fully Cooked Stir Fried Pork Byproduct With Chicken Liver",2.00 serving
80,"White Rice, Steamed",1.00 cup
80,"White Rice, Steamed",2.00 cup
80,"White Rice, Steamed",3.00 cup
80,"White Rice, Steamed",0.50 cup
