Day,Group,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Added Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2024-03-23,"Uncategorized","Argentina Corned Beef","1.00 can",180.00,,,,,,,,,,,,,,,,,,,,,,,,520.00,,,2.00,,0.00,,,10.00,30.00,,,6.00,0.00,,,,,,,,,,12.00,,,,,""
2024-03-23,"Uncategorized","Collagen Vit C Zinc","1.00  capsule",,,,,,,,,,,,,100.00,,,,,,,,,,,,0.00,4.00,0.00,0.00,,0.00,,0.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,0.00,,,,,""
2024-03-23,"Uncategorized","Beef Steak, Sirloin, No Visible Fat Eaten","100.00 g",160.00,0.00,0.00,64.56,0.08,0.29,7.93,0.44,0.78,2.02,5.00,4.00,0.00,1.00,0.28,1.90,16.00,0.06,2.88,15.00,0.01,270.00,384.00,27.20,67.00,4.54,0.00,0.00,0.00,0.00,0.00,0.00,4.49,77.00,1.92,0.30,1.67,0.21,0.02,0.23,0.32,1.16,1.44,2.66,2.96,0.84,1.24,29.90,1.46,0.35,1.15,1.54,"Beef Products"
2024-03-23,"Uncategorized","White Rice, Steamed","1.00 cup",205.41,0.00,0.00,108.14,0.26,0.02,2.33,0.62,0.15,0.00,67.63,0.00,0.00,0.00,0.06,0.00,15.80,0.11,1.90,18.96,0.75,67.94,55.30,11.85,1.58,0.77,44.51,0.54,36.34,0.05,0.00,43.95,0.44,0.00,0.14,0.12,0.12,0.00,0.02,0.10,0.09,0.10,0.18,0.35,0.15,0.10,0.23,4.25,0.15,0.05,0.14,0.26,"Cereal Grains and Pasta"
2024-03-23,"Uncategorized","Gardenia, High Fiber Wheat Raisin Loaf","2.00 Slice",226.00,,,,1.80,2.11,19.60,,,,168.00,360.00,0.00,,,,100.00,,3.60,,,,,,254.00,,44.00,18.00,,16.00,,26.00,2.00,0.00,,,0.00,0.00,,,,,,,,,,8.00,,,,,"Baked Products"
2024-03-23,"Uncategorized","Banana, Fresh","1.00 medium - 7"" to 7 7/8"" long",105.02,0.00,0.00,88.39,0.04,0.09,0.78,0.39,0.43,0.00,23.60,3.79,10.27,0.00,0.15,0.59,5.90,0.09,0.31,31.86,0.32,25.96,422.44,1.18,1.18,0.18,26.95,3.07,6.35,14.43,0.00,23.87,0.39,0.00,0.04,0.09,0.13,0.00,0.03,0.05,0.01,0.09,0.03,0.08,0.06,0.01,0.06,1.29,0.03,0.01,0.01,0.06,"Fruits and Fruit Juices"
2024-03-23,"Uncategorized","C-Lium Fibre","1.00 Pack",30.00,,,,,,,,,,,,,,,,,,,,,,,,30.00,,7.00,5.00,,2.00,,2.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,0.00,,,,,""
2024-03-24,"Uncategorized","Eggs, Cooked","3.00 large",232.50,0.00,0.00,111.93,0.10,0.77,0.10,2.10,0.18,1.67,66.00,224.00,0.00,130.50,1.55,0.45,75.00,0.02,1.79,15.00,0.04,258.00,189.00,46.20,186.00,1.58,1.68,0.00,0.00,1.68,0.00,1.67,15.92,559.50,6.12,2.12,4.90,0.00,0.10,1.97,0.44,0.45,1.03,1.61,1.36,0.59,1.00,18.87,0.91,0.23,0.77,1.15,"Dairy and Egg Products"
2024-03-24,"Uncategorized","Hosen Baked Beans","1.00 can",226.58,,,,,,,,,,,,,,,,,,,,,,,,1200.00,,39.90,14.70,,10.50,,25.20,0.00,0.00,,,0.00,0.00,,,,,,,,,,17.10,,,,,""
2024-03-24,"Uncategorized","Banana, Fresh","1.00 medium - 7"" to 7 7/8"" long",105.02,0.00,0.00,88.39,0.04,0.09,0.78,0.39,0.43,0.00,23.60,3.79,10.27,0.00,0.15,0.59,5.90,0.09,0.31,31.86,0.32,25.96,422.44,1.18,1.18,0.18,26.95,3.07,6.35,14.43,0.00,23.87,0.39,0.00,0.04,0.09,0.13,0.00,0.03,0.05,0.01,0.09,0.03,0.08,0.06,0.01,0.06,1.29,0.03,0.01,0.01,0.06,"Fruits and Fruit Juices"
2024-03-24,"Uncategorized","Collagen Vit C Zinc","1.00  capsule",,,,,,,,,,,,,100.00,,,,,,,,,,,,0.00,4.00,0.00,0.00,,0.00,,0.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,0.00,,,,,""
2024-03-24,"Uncategorized","Quaker, Oaties Mini Oat Cookies, Honey Nuts","1.00 Package",125.72,,,,,,,,,,,,,,,,,,,,,,,,180.60,,20.92,0.96,,8.04,,19.96,4.09,1.66,1.39,0.68,1.83,0.00,,,,,,,,,,2.30,,,,,"Snacks"
2024-03-24,"Uncategorized","Smart C","1.00 x 350.0 ml",110.00,,,,,,,3.50,1.19,,,,603.00,,,,,,,,,,,,100.00,,28.00,0.00,,24.00,,28.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,0.00,,,,,""
2024-03-24,"Uncategorized","White Rice, Steamed","1.00 cup",205.41,0.00,0.00,108.14,0.26,0.02,2.33,0.62,0.15,0.00,67.63,0.00,0.00,0.00,0.06,0.00,15.80,0.11,1.90,18.96,0.75,67.94,55.30,11.85,1.58,0.77,44.51,0.54,36.34,0.05,0.00,43.95,0.44,0.00,0.14,0.12,0.12,0.00,0.02,0.10,0.09,0.10,0.18,0.35,0.15,0.10,0.23,4.25,0.15,0.05,0.14,0.26,"Cereal Grains and Pasta"
2024-03-24,"Uncategorized","Bacon, Pork","8.00 slice - 6"" long",299.52,0.00,0.00,15.14,0.36,0.15,6.69,0.70,0.34,0.70,0.00,7.04,0.00,10.88,0.27,0.00,7.04,0.07,0.61,19.84,0.01,248.32,319.36,32.45,1077.76,1.96,1.09,0.00,0.00,0.58,0.58,1.07,22.46,63.36,9.94,3.91,7.66,0.09,0.17,3.47,0.25,0.89,1.04,1.80,1.95,0.60,0.91,21.71,0.96,0.26,0.87,1.11,"Pork Products"
2024-03-25,"Uncategorized","Eggs, Cooked","3.00 large",232.50,0.00,0.00,111.93,0.10,0.77,0.10,2.10,0.18,1.67,66.00,224.00,0.00,130.50,1.55,0.45,75.00,0.02,1.79,15.00,0.04,258.00,189.00,46.20,186.00,1.58,1.68,0.00,0.00,1.68,0.00,1.67,15.92,559.50,6.12,2.12,4.90,0.00,0.10,1.97,0.44,0.45,1.03,1.61,1.36,0.59,1.00,18.87,0.91,0.23,0.77,1.15,"Dairy and Egg Products"
2024-03-25,"Uncategorized","Argentina Corned Beef","1.00 can",180.00,,,,,,,,,,,,,,,,,,,,,,,,520.00,,,2.00,,0.00,,,10.00,30.00,,,6.00,0.00,,,,,,,,,,12.00,,,,,""
2024-03-25,"Uncategorized","Collagen Vit C Zinc","1.00  capsule",,,,,,,,,,,,,100.00,,,,,,,,,,,,0.00,4.00,0.00,0.00,,0.00,,0.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,0.00,,,,,""
2024-03-25,"Uncategorized","Quaker, Instant Oatmeal, Chocolate","32.00 g",129.94,,,,,,,,,,,,,,,,,,1.16,28.12,,,,,107.64,,24.24,2.72,,7.76,,21.53,2.42,0.00,,,0.48,0.00,,,,,,,,,,3.88,,,,,"Breakfast Cereals"
2024-03-25,"Uncategorized","Chicken with Gravy","1.00 cup",297.46,0.00,0.00,120.82,0.10,0.27,13.16,1.57,0.67,0.50,9.22,23.03,0.00,7.12,0.43,3.47,28.39,0.13,1.88,36.15,0.10,286.74,383.28,31.47,272.95,3.26,1.93,0.14,1.55,0.28,0.04,1.77,12.54,126.87,4.68,2.93,3.39,0.36,0.20,2.23,0.53,1.29,2.19,3.12,3.53,1.15,1.65,41.69,1.76,0.49,1.40,2.06,"Meals, Entrees, and Sidedishes"
2024-03-25,"Uncategorized","Nescafe, Instant Coffee ","1.00 tsp",5.00,,70.00,0.56,,,,,,,,,,,,,,,,,,,,,2.00,,0.87,,,0.01,,0.87,0.00,,,,,,,,,,,,,,,0.30,,,,,"Beverages"
2024-03-25,"Uncategorized","White Rice, Steamed","1.00 cup",205.41,0.00,0.00,108.14,0.26,0.02,2.33,0.62,0.15,0.00,67.63,0.00,0.00,0.00,0.06,0.00,15.80,0.11,1.90,18.96,0.75,67.94,55.30,11.85,1.58,0.77,44.51,0.54,36.34,0.05,0.00,43.95,0.44,0.00,0.14,0.12,0.12,0.00,0.02,0.10,0.09,0.10,0.18,0.35,0.15,0.10,0.23,4.25,0.15,0.05,0.14,0.26,"Cereal Grains and Pasta"
2024-03-25,"Uncategorized","Gardenia, High Fiber Wheat Raisin Loaf","2.00 Slice",226.00,,,,1.80,2.11,19.60,,,,168.00,360.00,0.00,,,,100.00,,3.60,,,,,,254.00,,44.00,18.00,,16.00,,26.00,2.00,0.00,,,0.00,0.00,,,,,,,,,,8.00,,,,,"Baked Products"
2024-03-26,"Uncategorized","Eggs, Cooked","3.00 large",232.50,0.00,0.00,111.93,0.10,0.77,0.10,2.10,0.18,1.67,66.00,224.00,0.00,130.50,1.55,0.45,75.00,0.02,1.79,15.00,0.04,258.00,189.00,46.20,186.00,1.58,1.68,0.00,0.00,1.68,0.00,1.67,15.92,559.50,6.12,2.12,4.90,0.00,0.10,1.97,0.44,0.45,1.03,1.61,1.36,0.59,1.00,18.87,0.91,0.23,0.77,1.15,"Dairy and Egg Products"
2024-03-26,"Uncategorized","Century Tuna, Flakes in Oil","2.00 serving",200.00,,,,,,,,,,,,,,,,,,,,,,,,760.00,,4.00,0.00,,0.00,,4.00,14.00,20.00,,,6.00,0.00,1.20,,,,,,,,,14.00,,,,,"Finfish and Shellfish Products"
2024-03-26,"Uncategorized","C-Lium Fibre","1.00 Pack",30.00,,,,,,,,,,,,,,,,,,,,,,,,30.00,,7.00,5.00,,2.00,,2.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,0.00,,,,,""
2024-03-26,"Uncategorized","Gardenia, High Fiber Wheat Raisin Loaf","2.00 Slice",226.00,,,,1.80,2.11,19.60,,,,168.00,360.00,0.00,,,,100.00,,3.60,,,,,,254.00,,44.00,18.00,,16.00,,26.00,2.00,0.00,,,0.00,0.00,,,,,,,,,,8.00,,,,,"Baked Products"
2024-03-26,"Uncategorized","Hosen Baked Beans","1.00 can",226.58,,,,,,,,,,,,,,,,,,,,,,,,1200.00,,39.90,14.70,,10.50,,25.20,0.00,0.00,,,0.00,0.00,,,,,,,,,,17.10,,,,,""
2024-03-26,"Uncategorized","Collagen Vit C Zinc","1.00  capsule",,,,,,,,,,,,,100.00,,,,,,,,,,,,0.00,4.00,0.00,0.00,,0.00,,0.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,0.00,,,,,""
2024-03-26,"Uncategorized","Chicken patty, frozen, cooked","4.00 patty",688.80,,,121.97,0.20,0.17,11.43,2.62,0.44,0.70,16.80,,,26.40,3.07,10.08,45.60,0.22,2.28,57.60,0.62,499.20,626.40,55.92,1276.80,2.52,30.82,0.72,24.84,,,30.10,46.99,103.20,20.01,11.53,8.79,,0.30,11.23,0.40,1.01,1.45,2.41,2.33,0.72,1.24,35.64,1.33,0.44,0.77,1.56,"Poultry Products"
2024-03-26,"Uncategorized","Hamburger Bun, White","2.00 medium - 3 1/2"" diameter",239.94,0.00,0.00,29.53,0.47,0.26,3.59,0.48,0.05,0.17,112.66,25.44,1.12,0.00,0.23,4.13,123.84,0.09,2.95,19.78,0.44,86.86,104.92,23.39,424.84,0.63,43.10,1.55,31.56,6.26,5.92,41.56,3.36,0.00,0.64,1.53,0.72,0.02,0.15,1.37,0.16,0.16,0.30,0.53,0.21,0.13,0.37,8.40,0.23,0.09,0.22,0.33,"Baked Products"
2024-03-26,"Uncategorized","Kalbe, Fitbar, Chocolate","1.00 bar",90.00,,,,2.00,,,,,0.50,,69.93,6.00,,,,80.00,,,,,,,,35.00,,15.00,1.00,,4.00,,14.00,2.50,0.00,0.50,0.00,2.00,0.00,,,,,,,,,,3.00,,,,,"Sweets"
2024-03-27,"Uncategorized","Eggs, Cooked","3.00 large",232.50,0.00,0.00,111.93,0.10,0.77,0.10,2.10,0.18,1.67,66.00,224.00,0.00,130.50,1.55,0.45,75.00,0.02,1.79,15.00,0.04,258.00,189.00,46.20,186.00,1.58,1.68,0.00,0.00,1.68,0.00,1.67,15.92,559.50,6.12,2.12,4.90,0.00,0.10,1.97,0.44,0.45,1.03,1.61,1.36,0.59,1.00,18.87,0.91,0.23,0.77,1.15,"Dairy and Egg Products"
2024-03-27,"Uncategorized","Argentina Corned Beef","1.00 can",180.00,,,,,,,,,,,,,,,,,,,,,,,,520.00,,,2.00,,0.00,,,10.00,30.00,,,6.00,0.00,,,,,,,,,,12.00,,,,,""
2024-03-27,"Uncategorized","Gardenia, High Fiber Wheat Raisin Loaf","2.00 Slice",226.00,,,,1.80,2.11,19.60,,,,168.00,360.00,0.00,,,,100.00,,3.60,,,,,,254.00,,44.00,18.00,,16.00,,26.00,2.00,0.00,,,0.00,0.00,,,,,,,,,,8.00,,,,,"Baked Products"
2024-03-27,"Uncategorized","Collagen Vit C Zinc","1.00  capsule",,,,,,,,,,,,,100.00,,,,,,,,,,,,0.00,4.00,0.00,0.00,,0.00,,0.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,0.00,,,,,""
2024-03-27,"Uncategorized","Sardines and Rice","1.00 full recipe",308.49,0.00,0.00,108.14,0.26,0.02,2.33,0.62,0.15,0.00,67.63,0.00,0.00,0.00,0.06,0.00,15.80,0.11,1.90,18.96,0.75,67.94,55.30,11.85,1238.65,0.77,50.70,0.54,36.34,4.17,0.00,50.13,5.60,32.99,0.14,0.12,2.18,0.00,0.02,0.10,0.09,0.10,0.18,0.35,0.15,0.10,0.23,16.62,0.15,0.05,0.14,0.26,""
2024-03-27,"Uncategorized","Quaker, Instant Oatmeal, Chocolate","32.00 g",129.94,,,,,,,,,,,,,,,,,,1.16,28.12,,,,,107.64,,24.24,2.72,,7.76,,21.53,2.42,0.00,,,0.48,0.00,,,,,,,,,,3.88,,,,,"Breakfast Cereals"
2024-03-27,"Uncategorized","Nescafe, Instant Coffee ","1.00 tsp",5.00,,70.00,0.56,,,,,,,,,,,,,,,,,,,,,2.00,,0.87,,,0.01,,0.87,0.00,,,,,,,,,,,,,,,0.30,,,,,"Beverages"
2024-03-27,"Uncategorized","C-Lium Fibre","1.00 Pack",30.00,,,,,,,,,,,,,,,,,,,,,,,,30.00,,7.00,5.00,,2.00,,2.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,0.00,,,,,""
2024-03-27,"Uncategorized","White Rice, Steamed","2.00 cup",410.81,0.00,0.00,216.28,0.52,0.04,4.66,1.23,0.29,0.00,135.25,0.00,0.00,0.00,0.13,0.00,31.60,0.22,3.79,37.92,1.49,135.88,110.60,23.70,3.16,1.55,89.02,1.07,72.68,0.09,0.00,87.89,0.88,0.00,0.28,0.24,0.24,0.00,0.04,0.20,0.17,0.20,0.37,0.70,0.31,0.20,0.46,8.50,0.30,0.10,0.28,0.52,"Cereal Grains and Pasta"
2024-03-27,"Uncategorized","Turo-turo Gourmet, Sisig Fully Cooked Stir Fried Pork Byproduct With Chicken Liver","2.00 serving",180.20,,,,,,,,,,,449.82,9.52,,,,40.80,,1.44,,,,,,700.40,,4.00,0.00,,2.01,,4.00,10.00,79.90,,,2.99,0.00,,,,,,,,,,16.00,,,,,""
2024-03-28,"Uncategorized","White Rice, Steamed","3.00 cup",616.22,0.00,0.00,324.41,0.77,0.06,7.00,1.85,0.44,0.00,202.88,0.00,0.00,0.00,0.19,0.00,47.40,0.33,5.69,56.88,2.24,203.83,165.90,35.55,4.74,2.32,133.53,1.61,109.02,0.14,0.00,131.84,1.33,0.00,0.42,0.36,0.36,0.00,0.06,0.29,0.26,0.30,0.55,1.05,0.46,0.30,0.68,12.75,0.46,0.15,0.43,0.78,"Cereal Grains and Pasta"
2024-03-28,"Uncategorized","Tesco, Egg & Bacon","1.00 serving",195.61,,,,,,,,,,,,,,,,,,,,,,,,320.00,,2.60,,,0.30,,2.60,14.90,,,,3.10,,,,,,,,,,,12.80,,,,,"Meals, Entrees, and Sidedishes"
2024-03-28,"Uncategorized","Force of Nature, Beef Hotdog","1.00 Link",140.00,,,,,,,,,,,,,0.00,,,0.01,,1.00,,,,99.00,,450.00,,0.00,0.00,,0.00,0.00,0.00,12.00,25.00,,,5.00,0.00,,,,,,,,,,8.00,,,,,"Sausages and Luncheon Meats"
2024-03-28,"Uncategorized","Ham Lunchmeat, Fat Free","4.00 large slice - 6 1/4"" x 4"" x 1/16"" - each 1 oz",103.19,0.00,0.00,86.79,0.37,0.25,4.07,0.52,0.28,0.35,1.13,10.21,0.00,12.29,0.25,0.00,7.94,0.11,0.86,20.41,0.02,259.69,259.69,45.36,1179.36,2.26,0.81,0.00,0.00,0.81,0.00,0.79,2.12,56.70,0.91,0.31,0.67,0.01,0.01,0.27,0.24,0.92,0.95,1.69,1.79,0.51,0.85,21.15,0.95,0.20,0.69,1.07,"Sausages and Luncheon Meats"
2024-03-29,"Uncategorized","Century Tuna, Flakes in Oil","4.00 oz",202.50,,,,,,,,,,,,,,,,,,,,,,,,769.49,,4.05,0.00,,0.00,,4.05,14.17,20.25,,,6.07,0.00,1.21,,,,,,,,,14.17,,,,,"Finfish and Shellfish Products"
2024-03-29,"Uncategorized","Gardenia, High Fiber Wheat Raisin Loaf","2.00 Slice",226.00,,,,1.80,2.11,19.60,,,,168.00,360.00,0.00,,,,100.00,,3.60,,,,,,254.00,,44.00,18.00,,16.00,,26.00,2.00,0.00,,,0.00,0.00,,,,,,,,,,8.00,,,,,"Baked Products"
2024-03-29,"Uncategorized","Gardenia, High Fiber Wheat Raisin Loaf","2.00 Slice",226.00,,,,1.80,2.11,19.60,,,,168.00,360.00,0.00,,,,100.00,,3.60,,,,,,254.00,,44.00,18.00,,16.00,,26.00,2.00,0.00,,,0.00,0.00,,,,,,,,,,8.00,,,,,"Baked Products"
2024-03-29,"Uncategorized","Collagen Vit C Zinc","1.00  capsule",,,,,,,,,,,,,100.00,,,,,,,,,,,,0.00,4.00,0.00,0.00,,0.00,,0.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,0.00,,,,,""
2024-03-29,"Uncategorized","Pinkberry, milkshake, mango pineapple","22.00 oz",474.57,,,500.12,,,,,,,,494.34,71.19,,,,659.12,,0.47,,,,,,224.10,,101.51,2.64,,94.91,,98.87,1.32,13.18,,,0.00,0.00,,,,,,,,,,19.77,,,,,"Beverages"
2024-03-30,"Uncategorized","Century Tuna, Flakes in Oil","3.00 serving",300.00,,,,,,,,,,,,,,,,,,,,,,,,1140.00,,6.00,0.00,,0.00,,6.00,21.00,30.00,,,9.00,0.00,1.80,,,,,,,,,21.00,,,,,"Finfish and Shellfish Products"
2024-03-30,"Uncategorized","Quaker, Instant Oatmeal, Chocolate","66.00 g",268.00,,,,,,,,,,,,,,,,,,2.40,58.00,,,,,222.00,,50.00,5.60,,16.00,,44.40,5.00,0.00,,,1.00,0.00,,,,,,,,,,8.00,,,,,"Breakfast Cereals"
2024-03-30,"Uncategorized","Kopiko, Lucky Day, Strong and Creamy Coffee [Copy]","1.00 bottle (180ml)",130.00,,,155.00,,0.10,,,,,,,,,,,,,,,,,,,187.00,,19.00,,,13.00,,19.00,6.00,,,,5.00,,,,,,,,,,,3.00,,,,,"Beverages"
2024-03-30,"Uncategorized","Collagen Vit C Zinc","1.00  capsule",,,,,,,,,,,,,100.00,,,,,,,,,,,,0.00,4.00,0.00,0.00,,0.00,,0.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,0.00,,,,,""
